model,test_days,pred,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon,pi_size,min_feats,features,pi_handling,Date
xgboost-3,1,1.0,0.0,1,0,1470,2025-12-19,2025-12-19,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-19
xgboost-3,1,1.0,1.0,1,1,1470,2025-12-18,2025-12-18,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-18
xgboost-3,1,0.95,1.0,1,1,1470,2025-12-17,2025-12-17,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-17
xgboost-3,1,0.95,1.0,1,1,1470,2025-12-16,2025-12-16,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-16
xgboost-3,1,0.9,1.0,1,1,1470,2025-12-15,2025-12-15,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-15
xgboost-3,1,0.95,1.0,1,1,1470,2025-12-12,2025-12-12,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-12
xgboost-3,1,0.15,0.0,1,1,1470,2025-12-11,2025-12-11,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-11
xgboost-3,1,0.15,1.0,1,0,1470,2025-12-10,2025-12-10,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-10
xgboost-3,1,0.1,1.0,1,0,1470,2025-12-09,2025-12-09,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-09
xgboost-3,1,0.3,1.0,1,0,1470,2025-12-08,2025-12-08,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-08
xgboost-3,1,0.3,1.0,1,0,1470,2025-12-05,2025-12-05,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-05
xgboost-3,1,0.3,1.0,1,0,1470,2025-12-04,2025-12-04,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-04
xgboost-3,1,0.15,1.0,1,0,1470,2025-12-03,2025-12-03,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-03
xgboost-3,1,0.45,0.0,1,1,1470,2025-12-02,2025-12-02,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-02
xgboost-3,1,1.0,1.0,1,1,1470,2025-12-01,2025-12-01,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-12-01
xgboost-3,1,0.8,1.0,1,1,1470,2025-11-28,2025-11-28,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-11-28
xgboost-3,1,1.0,1.0,1,1,1470,2025-11-26,2025-11-26,6,ma_sma_ba,30,1.5,100,ma_sma,include_new,2025-11-26
