model,test_days,pred,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon,pi_size,min_feats
xgboost-3,1,0.25,1.0,1,0,1470,2026-02-02,2026-02-02,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,0.0,1,0,1470,2026-01-30,2026-01-30,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.9,0.0,1,0,1470,2026-01-29,2026-01-29,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.95,0.0,1,0,1470,2026-01-28,2026-01-28,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.8,0.0,1,0,1470,2026-01-27,2026-01-27,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.9,1.0,1,1,1470,2026-01-26,2026-01-26,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.7,1.0,1,1,1470,2026-01-23,2026-01-23,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.1,0.0,1,1,1470,2026-01-22,2026-01-22,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.2,0.0,1,1,1470,2026-01-21,2026-01-21,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.8,1.0,1,1,1470,2026-01-20,2026-01-20,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.2,1.0,1,0,1470,2026-01-16,2026-01-16,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.15,1.0,1,0,1470,2026-01-15,2026-01-15,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.05,0.0,1,1,1470,2026-01-14,2026-01-14,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,0.0,1,0,1470,2026-01-13,2026-01-13,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.2,1.0,1,0,1470,2026-01-12,2026-01-12,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.1,1.0,1,0,1470,2026-01-09,2026-01-09,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.8,1.0,1,1,1470,2026-01-08,2026-01-08,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.9,1.0,1,1,1470,2026-01-07,2026-01-07,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.5,1.0,1,0,1470,2026-01-06,2026-01-06,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.05,0.0,1,1,1470,2026-01-05,2026-01-05,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.2,0.0,1,1,1470,2026-01-02,2026-01-02,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.15,0.0,1,1,1470,2025-12-31,2025-12-31,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.3,1.0,1,0,1470,2025-12-30,2025-12-30,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,0.0,1,0,1470,2025-12-29,2025-12-29,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.95,0.0,1,0,1470,2025-12-26,2025-12-26,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.95,0.0,1,0,1470,2025-12-24,2025-12-24,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.65,1.0,1,1,1470,2025-12-23,2025-12-23,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.55,1.0,1,1,1470,2025-12-22,2025-12-22,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,1.0,1,1,1470,2025-12-19,2025-12-19,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,1.0,1,1,1470,2025-12-18,2025-12-18,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.85,1.0,1,1,1470,2025-12-17,2025-12-17,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,0.0,1,0,1470,2025-12-16,2025-12-16,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,0.0,1,0,1470,2025-12-15,2025-12-15,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.85,0.0,1,0,1470,2025-12-12,2025-12-12,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.9,0.0,1,0,1470,2025-12-11,2025-12-11,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.25,1.0,1,0,1470,2025-12-10,2025-12-10,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.85,1.0,1,1,1470,2025-12-09,2025-12-09,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.95,1.0,1,1,1470,2025-12-08,2025-12-08,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.9,0.0,1,0,1470,2025-12-05,2025-12-05,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.8,1.0,1,1,1470,2025-12-04,2025-12-04,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.5,1.0,1,1,1470,2025-12-03,2025-12-03,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.4,0.0,1,1,1470,2025-12-02,2025-12-02,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.95,1.0,1,1,1470,2025-12-01,2025-12-01,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.9,1.0,1,1,1470,2025-11-28,2025-11-28,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.6,1.0,1,1,1470,2025-11-26,2025-11-26,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.75,1.0,1,1,1470,2025-11-25,2025-11-25,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.1,0.0,1,1,1470,2025-11-24,2025-11-24,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.3,0.0,1,1,1470,2025-11-21,2025-11-21,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.05,0.0,1,1,1470,2025-11-20,2025-11-20,6,ma_lag-baseline,2,1.5,8
xgboost-3,1,0.1,1.0,1,0,1470,2025-11-19,2025-11-19,6,ma_lag-baseline,2,1.5,8
