horizon,model,train_years,feature_set,pos_rate,bal_acc,brier,log_loss,mcc,cov_|0.6|,acc_|0.6|,composite
2,xgboost-6,5,experimental + ma_lag,0.5695652173913040,0.537666743773614,0.3747934782608690,6.612793648504030,0.0755317646030118,0.9304347826086960,0.5514018691588790,0.3514420977795350
5,xgboost-6,5,experimental + ma_lag + ma_num + rsi + macd + volu,0.6130434782608700,0.5323133317395810,0.3499456521739130,5.560521808569140,0.06813787073859220,0.9304347826086960,0.5794392523364490,0.35282663487504000
10,xgboost-6,5,atr_adx_ + vola + ma_num + volu,0.6434782608695650,0.6227752142386290,0.2569673913043480,4.745937010467360,0.2964738267594980,0.9652173913043480,0.7027027027027030,0.5138728014707640
20,xgboost-4,5,atr_adx + vola + ma_num,0.7130434782608700,0.6010716925351070,0.22383695652173900,3.399729109141550,0.22676652871095100,0.9217391304347830,0.7122641509433960,0.4472134044091960
30,xgboost-6,5,atr_adx_ + vola + ma_num + ma_sma + rsi + macd,0.7391304347826090,0.6392156862745100,0.23914130434782600,4.555515018956240,0.2784313725490200,0.9826086956521740,0.7212389380530970,0.5390556126885150
