run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,n_features,pi_size,min_feats,feature_set,horizon
4,xgboost-2,1,0.5,1.0,1,0,1,0.0,1.0,1225,2021-02-24,2026-01-08,2026-01-13,2026-01-13,5,6,1.0,6,baseline,2
4,xgboost-2,1,0.6,0.0,1,0,1,0.0,1.0,1225,2021-02-24,2026-01-08,2026-01-13,2026-01-13,5,8,1.0,8,baseline,2
4,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-24,2026-01-08,2026-01-13,2026-01-13,5,12,1.0,12,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,6,0.33,6,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,8,0.33,8,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,12,0.33,12,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,6,0.67,6,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,8,0.67,8,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,12,0.67,12,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,6,1.0,6,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,8,1.0,8,baseline,2
5,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-23,2026-01-07,2026-01-12,2026-01-12,5,12,1.0,12,baseline,2
6,xgboost-2,1,0.55,0.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,6,0.33,6,baseline,2
6,xgboost-2,1,0.5,0.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,8,0.33,8,baseline,2
